gid;ferrovia;operacao;observacao;extensaokm;bitolatipo;produtos;ferrosigla;pnvcoin;operadora;codpnvsimp;modal;bitola_ext;situacao;cod_pnv;wkt;geometria
1;Serra do Navio - Porto Santana;1953-03-20T00:00:00.000Z;Operação dividido entre terceirizados sob fiscalização ICOMI-Ind. e Com. de Minérios S.A;7;BITOLA NORMAL;Minério de manganês, ferro-silício, dormentes e areia;EFA;;MMX Logística;EF-401;Ferrovia;1.435;FERROVIA EM TRAFEGO;401FAP0030;MULTILINESTRING((-51.886590351999516 0.705929114028136,-51.899770427806395 0.723206209134968,-51.906550466722685 0.73111725261001,-51.92701358416254 0.754688382085217));ST_MultiLineString
2;Serra do Navio - Porto Santana;1953-03-20T00:00:00.000Z;Operação dividido entre terceirizados sob fiscalização ICOMI-Ind. e Com. de Minérios S.A;5;BITOLA NORMAL;Minério de manganês, ferro-silício, dormentes e areia;EFA;;MMX Logística;EF-401;Ferrovia;1.435;FERROVIA EM TRAFEGO;401FAP0020;MULTILINESTRING((-51.92701358416254 0.754688382085217,-51.944008682032155 0.777688508652975));ST_MultiLineString
3;Serra do Navio - Porto Santana;1953-03-20T00:00:00.000Z;Operação dividido entre terceirizados sob fiscalização ICOMI-Ind. e Com. de Minérios S.A;16;BITOLA NORMAL;Minério de manganês, ferro-silício, dormentes e areia;EFA;;MMX Logística;EF-401;Ferrovia;1.435;FERROVIA EM TRAFEGO;401FAP0010;MULTILINESTRING((-51.944008682032155 0.777688508652975,-51.950385718343846 0.781876531382519,-51.95560074867403 0.79201058735078,-51.95836976910286 0.841186861236132,-51.96352779958122 0.855225939015081,-51.98037089656443 0.875977053003359,-52.00262402383792 0.895186157760742));ST_MultiLineString
4;Serra do Navio - Porto Santana;1953-03-20T00:00:00.000Z;Operação dividido entre terceirizados sob fiscalização ICOMI-Ind. e Com. de Minérios S.A;4;BITOLA NORMAL;Minério de manganês, ferro-silício, dormentes e areia;EFA;;MMX Logística;EF-401;Ferrovia;1.435;FERROVIA EM TRAFEGO;401FAP0040;MULTILINESTRING((-51.852966160267805 0.681566981131315,-51.86816324662945 0.688931020894233,-51.886590351999516 0.705929114028136));ST_MultiLineString
5;Serra do Navio - Porto Santana;1953-03-20T00:00:00.000Z;Operação dividido entre terceirizados sob fiscalização ICOMI-Ind. e Com. de Minérios S.A;12;BITOLA NORMAL;Minério de manganês, ferro-silício, dormentes e areia;EFA;;MMX Logística;EF-401;Ferrovia;1.435;FERROVIA EM TRAFEGO;401FAP0050;MULTILINESTRING((-51.74404854132847 0.637137742113439,-51.76251764593278 0.639061751415267,-51.78120075209654 0.64603778886567,-51.852966160267805 0.681566981131315));ST_MultiLineString
6;Serra do Navio - Porto Santana;1953-03-20T00:00:00.000Z;Operação dividido entre terceirizados sob fiscalização ICOMI-Ind. e Com. de Minérios S.A;20;BITOLA NORMAL;Minério de manganês, ferro-silício, dormentes e areia;EFA;;MMX Logística;EF-401;Ferrovia;1.435;FERROVIA EM TRAFEGO;401FAP0060;MULTILINESTRING((-51.62216685225084 0.653799844793854,-51.660747070378434 0.646172799079847,-51.70891234262095 0.638812754189669,-51.74404854132847 0.637137742113439));ST_MultiLineString
7;Serra do Navio - Porto Santana;1953-03-20T00:00:00.000Z;Operação dividido entre terceirizados sob fiscalização ICOMI-Ind. e Com. de Minérios S.A;13;BITOLA NORMAL;Minério de manganês, ferro-silício, dormentes e areia;EFA;;MMX Logística;EF-401;Ferrovia;1.435;FERROVIA EM TRAFEGO;401FAP0070;MULTILINESTRING((-51.538337379740504 0.69542008492336,-51.569316555065654 0.687775039437694,-51.5802886169667 0.683009011804293,-51.58943766839648 0.676851976540943,-51.609372779979985 0.657642867326257,-51.62216685225084 0.653799844793854));ST_MultiLineString
8;Serra do Navio - Porto Santana;1953-03-20T00:00:00.000Z;Operação dividido entre terceirizados sob fiscalização ICOMI-Ind. e Com. de Minérios S.A;18;BITOLA NORMAL;Minério de manganês, ferro-silício, dormentes e areia;EFA;;MMX Logística;EF-401;Ferrovia;1.435;FERROVIA EM TRAFEGO;401FAP0080;MULTILINESTRING((-51.4137306722969 0.712961194145584,-51.439712818756064 0.694961090651249,-51.44769886427622 0.695616093662457,-51.45796792262358 0.694357085719523,-51.49513313430826 0.697295099097754,-51.538337379740504 0.69542008492336));ST_MultiLineString
9;Serra do Navio - Porto Santana;1953-03-20T00:00:00.000Z;Operação dividido entre terceirizados sob fiscalização ICOMI-Ind. e Com. de Minérios S.A;38;BITOLA NORMAL;Minério de manganês, ferro-silício, dormentes e areia;EFA;;MMX Logística;EF-401;Ferrovia;1.435;FERROVIA EM TRAFEGO;401FAP0100;MULTILINESTRING((-51.13027502264877 0.059748543498656,-51.12424698827441 0.080142657556186,-51.122367977628144 0.092073724300343,-51.1216899743423 0.136151970966685,-51.119549962394736 0.154505073775113,-51.091178801212386 0.220714445609169,-51.08350075807258 0.252586624763312,-51.076699720266056 0.289976835081127,-51.07919273642611 0.339599114074788,-51.09171781041025 0.389034391797635,-51.09292781771407 0.396829435637982));ST_MultiLineString
10;Serra do Navio - Porto Santana;1953-03-20T00:00:00.000Z;Operação dividido entre terceirizados sob fiscalização ICOMI-Ind. e Com. de Minérios S.A;60;BITOLA NORMAL;Minério de manganês, ferro-silício, dormentes e areia;EFA;;MMX Logística;EF-401;Ferrovia;1.435;FERROVIA EM TRAFEGO;401FAP0090;MULTILINESTRING((-51.09292781771407 0.396829435637982,-51.095687834443 0.415472540514957,-51.10155786879752 0.429284618034783,-51.1795293211302 0.527771168554747,-51.18781537070821 0.560888354718591,-51.19501941330111 0.580917467184589,-51.20363846329848 0.590605521222312,-51.29512398950579 0.634960764514746,-51.32767217664074 0.652123858675427,-51.374758447442446 0.679929011467194,-51.400002592797996 0.697749109685194,-51.4137306722969 0.712961194145584));ST_MultiLineString
